"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2040,170.313
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2050,182.213
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2035,154.668
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2040,153.305
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2050,149.019
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2035,74.776
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2040,41.245
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2050,7.155
"World Energy Outlook 2025","Historical","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2010,0.266
"World Energy Outlook 2025","Historical","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2023,0.538
"World Energy Outlook 2025","Historical","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2024,0.541
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2035,1.522
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2040,1.787
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2050,1.838
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2035,1.471
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2040,1.814
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2050,1.951
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas: with CCUS","Total energy supply","EJ","World",2035,8.233
